AEROATLAS S.A.,AQA
"AEROBANANA, S.A. DE C.V.",OBA
"AEROBONA, S.A. DE C.V.",BOC
"AEROCALIFORNIA, S.A.",SER
AEROCARDAL,CDA
"AEROCARIBE CORO, C.A.",AOB
"AEROCARIBE DE HONDURAS, S. DE R.L. (HONDURAS AIR)",HAS
"AEROCENTER, ESCUELA DE FORMACION DE PILOTOS PRIVADOS DE AVION",ACR
AEROCHARTER,ERC
AEROCLUB BARCELONA-SABADELL,BSO
AEROCLUB DE ALBACETE,NVA
AEROCLUB DE ALICANTE,LUE
AEROCLUB DE MALLORCA,MLL
AEROCLUB DE VITORIA,AVX
AEROCLUBE DE COIMBRA,MOD
AEROCON LTDA.,AEK
AEROCONDOR S.A.,CDP
"AEROCORP, S.A. DE C.V.",RCP
"AEROCORPORATIVOS, S.A. DE C.V.",CTD
"AEROCREDO, CLOSED CORPORATION",RRO
"AEROCUAHONTE, S.A. DE C.V.",CUO
"AERODAN, S.A. DE C.V.",ROD
AERODESPACHOS DE EL SALVADOR,DNA
"AERODIENST GMBH & CO. KG, NUERNBERG",ADN
"AERODINAMICA DE MONTERREY, S.A. DE C.V.",DMC
"AERODIPLOMATIC, S.A. DE C.V.",ADP
AERODIS AVIACION S.L.,DIS
"AERODYNAMICS MALAGA, S.L.",DNC
"AEROECOM, C.A.",...
"AEROECOM, C.A.",ERO
"AEROEJECUTIVA NIETO, S.A. DE C.V.",NIE
"AEROEJECUTIVOS, AEROSERVICIOS EJECUTIVOS",AJS
AEROEL AIRWAYS LTD,ROL
"AEROENLACES NACIONALES, S.A. DE C.V.",VIV
AEROESTE SRL,ROE
AEROEXPRESO BOGOTA,ABO
AEROFAN,CFF
AEROFAQ,FAQ
"AEROFERINCO, S.A. DE C.V.",FEO
"AEROFLIGHT ACADEMY OF AVATION, INC (SEATTLE, WA)",TVD
AEROFLOT - RUSSIAN AIRLINES,AFL
"AEROFLOT-CARGO, CLOSED JOINT STOCK COMPANY",RCF
AEROFLOTA DEL NOROESTE S.L.,FNO
"AEROFREIGHT AIRLINES, JSC",FRT
AEROFRISCO,FCO
AEROGAUCHO S.A.,GAU
"AEROGISA, S.A. DE C.V.",OGI
AEROGROUP 98 LIMITED,RWY
AEROJET AIRLINES,BJU
"AEROJET DE COSTA RICA, S.A.",ARJ
"AEROJOBENI, S.A. DE C.V.",JOB
"AEROKALUZ, S.A. DE C.V.",KLZ
AEROKUZBASS LTD,NKZ
"AEROLAGUNA, S.A. DE C.V.",LGN
AEROLAND S.A.,AEN
AEROLANE - LINEAS AEREAS NACIONALES DEL ECUADOR S.A.,LNE
"AEROLIMA, S.A. DE C.V.",LMA
AEROLIMOUSINE LTD,LIN
AEROLINEA DE ANTIOQUIA S.A. (ADA),ANQ
AEROLINEA DEL CARIBE-PERU S.A.C.,CPR
AEROLINEA PRINCIPAL CHILE S.A.,PCP
"AEROLINEAS AEREAS EJECUTIVAS DE DURANGO, S.A. DE C.V.",LDG
"AEROLINEAS AMANECER, S.A. DE C.V.",MNE
AEROLINEAS ARGENTINAS,ARG
"AEROLINEAS CENTAURO, S.A. DE C.V.",CTR
"AEROLINEAS CENTRALES, S.A. DE C.V.",ALT
"AEROLINEAS CENTROAMERICANAS, S.A. (CENTRAL AMERICAN AIRLINES)",ACN
"AEROLINEAS CHIHUAHUA AL PACIFICO, S.A. DE C.V.",PFI
"AEROLINEAS COMERCIALES, S.A. DE C.V.",ECM
"AEROLINEAS DAMOJH, S.A. DE C.V.",DMJ
"AEROLINEAS DE MORELIA, S.A. DE C.V.",MOR
"AEROLINEAS DE TEHUACAN, S.A. DE C.V.",HUC
"AEROLINEAS DEL CENTRO, S.A. DE C.V.",RDC
"AEROLINEAS DEL GOLFO, S.A. DE C.V.",DLG
AEROLINEAS DEL PACIFICO - AEROPACSA,RPC
"AEROLINEAS DEL SURESTE, S.A.",SUE
"AEROLINEAS EJECUTIVAS, S.A.",LET
AEROLINEAS GALAPAGOS S.A. (AEROGAL),GLG
"AEROLINEAS HIDALGO, S.A. DE C.V.",AHL
"AEROLINEAS INTERNACIONALES, S.A. DE C.V.",LNT
"AEROLINEAS JET GLOBAL, C.A.",JGB
"AEROLINEAS MARCOS, S.A. DE C.V.",MCO
